id|name|salesTarget|salesAchieved|totalSales|commission
101|Rajesh Kumar|5000000|4200000|12500000|84000
102|Priya Sharma|5000000|3800000|9800000|76000
103|Amit Patel|5000000|4500000|15200000|90000
104|Neha Gupta|5000000|5100000|13400000|102000
105|Sanjay Singh|5000000|4750000|14100000|95000
106|Anjali Desai|5000000|3950000|8700000|79000
107|Vikram Joshi|5000000|4300000|12600000|86000
108|Deepika Reddy|5000000|4850000|13900000|97000
109|Arjun Malhotra|5000000|4100000|11200000|82000
110|Meera Iyer|5000000|4600000|14800000|92000
