id|name|salesTarget|salesAchieved|totalSales|commission
111|Arjun Malhotra|5000000|7250000|7250000|145000
112|Meera Iyer|5000000|6150000|6150000|123000
113|Rohan Desai|5000000|5420000|5420000|108400
114|Pooja Mehta|5000000|6830000|6830000|136600
115|Karan Johar|5000000|4970000|4970000|99400
116|Divya Chawla|5000000|7560000|7560000|151200
117|Vivek Oberoi|5000000|5280000|5280000|105600
118|Ananya Pandey|5000000|6720000|6720000|134400
119|Rajeev Khanna|5000000|5910000|5910000|118200
120|Shreya Goswami|5000000|7140000|7140000|142800
